City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
253,Namibe,AO,-15.1961,12.1522,72.95,68,93,7.34,overcast clouds
254,Chuy,UY,-33.6971,-53.4616,62.78,80,48,14.2,scattered clouds
255,Lavrentiya,RU,65.5833,-171.0,-20.47,91,59,8.88,broken clouds
256,Iqaluit,CA,63.7506,-68.5145,-38.47,67,40,4.61,scattered clouds
257,Comodoro Rivadavia,AR,-45.8667,-67.5,58.86,63,0,3.44,clear sky
258,Piney Green,US,34.716,-77.3202,42.04,83,100,10.36,overcast clouds
259,Barstow,US,34.8986,-117.0228,55.49,21,0,5.77,clear sky
260,Middletown,US,39.5151,-84.3983,30.04,87,0,0.0,mist
261,Torbat-E Jam,IR,35.244,60.6225,38.03,75,83,2.37,broken clouds
262,Mildura,AU,-34.2,142.15,91.08,23,40,11.5,scattered clouds
263,Hay River,CA,60.8156,-115.7999,3.18,85,20,3.44,few clouds
264,Praia,CV,14.9215,-23.5087,66.74,82,20,11.5,few clouds
265,Deputatskiy,RU,69.3,139.9,-32.8,94,85,4.83,overcast clouds
266,Romny,UA,50.751,33.4747,24.66,90,83,11.83,broken clouds
267,Shakhovskaya,RU,56.0283,35.5097,27.19,95,99,12.93,light snow
268,Aasiaat,GL,68.7098,-52.8699,9.01,87,100,14.92,light snow
269,Isangel,VU,-19.55,169.2667,78.91,94,100,13.8,overcast clouds
270,Manakara,MG,-22.1333,48.0167,81.19,90,72,8.12,broken clouds
271,Angoche,MZ,-16.2325,39.9086,76.32,89,96,10.65,overcast clouds
272,Richards Bay,ZA,-28.783,32.0377,73.36,88,84,2.53,light rain
273,Sindor,RU,62.8629,51.8905,16.88,94,100,7.14,light snow
274,Miri,MY,4.4148,114.0089,86.14,79,40,6.91,scattered clouds
275,Zhanaozen,KZ,43.3,52.8,34.65,78,100,5.53,overcast clouds
276,Ust-Karsk,RU,52.7011,118.8077,10.36,78,57,2.04,broken clouds
277,Belyy Yar,RU,53.6039,91.3903,1.29,85,100,2.24,mist
278,Baykit,RU,61.67,96.37,3.2,91,43,2.57,scattered clouds
279,Beringovskiy,RU,63.05,179.3167,-17.16,95,19,5.91,few clouds
280,Meulaboh,ID,4.1363,96.1285,79.59,82,98,4.41,overcast clouds
281,Geraldton,AU,-28.7667,114.6,79.21,34,0,18.41,clear sky
282,Hofn,IS,64.2539,-15.2082,32.81,93,100,31.09,snow
283,Cabo San Lucas,MX,22.8909,-109.9124,63.95,67,0,5.12,clear sky
284,Bongaree,AU,-27.0797,153.1586,84.56,62,31,22.26,scattered clouds
